URL, Name
https://www.jreast.co.jp/press/, JR東日本
https://www.westjr.co.jp/press/, JR西日本
https://jr-central.co.jp/news/, JR東海
https://www.jrkyushu.co.jp/news/, JR九州
https://www.jrhokkaido.co.jp/press/, JR北海道
https://www.jrshikoku.co.jp/03_news/, JR四国
https://www.jrfreight.co.jp/news/, JR貨物
https://www.osakametro.co.jp/news/news_list.php, Osaka Metro
https://www.hankyu.co.jp/company/news/, 阪急電鉄
https://www.hanshin.co.jp/press/, 阪神電車
https://www.keihan.co.jp/corporate/info/release/, 京阪電気鉄道
https://www.kintetsu.co.jp/all_info/whatsnew.html, 近畿日本鉄道
https://www.nankai.co.jp/information.html?year=2026, 南海電鉄
https://www.tokyometro.jp/news/, 東京メトロ
https://www.tokyu.co.jp/area/article/?tag=tokyu-railways-news, 東急電鉄
https://www.odakyu.jp/company/about/news/, 小田急電鉄
https://www.keio.co.jp/news/update/announce/news_all.html, 京王電鉄
https://www.seiburailway.jp/newsroom/list.html?keyword=%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%B9%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9, 西武鉄道
https://www.tobu.co.jp/news/, 東武鉄道
https://www.keisei.co.jp/news/, 京成電鉄
https://www.sotetsu.co.jp/pressrelease/, 相模鉄道
https://www.meitetsu.co.jp/profile/news/, 名古屋鉄道
https://www.nishitetsu.co.jp/release/, 西日本鉄道
https://www.tetsudo.com/news/, 鉄道コム
https://railf.jp/news/, 鉄道ファン railf.jp
